,State,Geographic area,Population,Density per square mile of land area - Population
4308,Connecticut,"New Milford town, Litchfield County",28142,457.1
4380,Connecticut,"South Windham CDP, Windham County",1421,457.1
27783,Oklahoma,"Caddo town, Bryan County",997,457.1
33342,Tennessee,"Fairview city, Williamson County",7720,457.2
37549,Washington,"North Fort Lewis CDP, Pierce County",2699,457.3
40102,Wisconsin,"Tichigan CDP, Racine County",5133,457.3
8592,Indiana,Starke County (part),1459,457.4
18784,Mississippi,"Lucedale city, George County",2923,457.4
26210,North Dakota,"Rocklake city, Towner County",101,457.4
39223,Wisconsin,"Lake Hallie village, Chippewa County",6448,457.5
40363,Wyoming,"Afton town, Lincoln County",1911,457.5
35990,Utah,"Milford city, Beaver County",1409,457.6
22478,New Mexico,"Cochiti Lake CDP, Sandoval County",569,457.7
9580,Iowa,"Little Sioux city, Harrison County",170,457.8
18666,Mississippi,"Crawford town, Lowndes County",641,457.8
23940,New York,"Lockport town, Niagara County",20529,457.8
25560,North Carolina,"Mulberry CDP, Wilkes County",2332,457.8
16627,Minnesota,"Garfield city, Douglas County",354,457.9
19014,Missouri,"Arbela town, Scotland County",41,457.9
31402,Pennsylvania,"Rowes Run CDP, Fayette County",564,457.9
38700,Wisconsin,"Delafield town, Waukesha County",8400,457.9
31212,Pennsylvania,"Plumstead township, Bucks County",12442,458
4219,Connecticut,"Ellington town, Tolland County",15602,458.1
7921,Illinois,"Rutland village, LaSalle County",318,458.2
5467,Florida,"World Golf Village CDP, St. Johns County",12310,458.3
21049,Nebraska,"Table Rock village, Pawnee County",269,458.3
23443,New York,"Ellicottville village, Cattaraugus County",376,458.3
33264,Tennessee,"Cedar Hill city, Robertson County",314,458.3
34383,Texas,"Garden Ridge city, Comal County",3259,458.3
38678,Wisconsin,"Dalton CDP, Green Lake County",206,458.3
570,Alabama,"Springville city, St. Clair County",4080,458.4
25194,North Carolina,"Conway town, Northampton County",836,458.4
15,Alabama,"Andalusia city, Covington County",9015,458.6
20030,Missouri,"Syracuse city, Morgan County",172,458.6
28071,Oklahoma,"Kingston town, Marshall County",1601,458.6
33294,Tennessee,"Cottage Grove town, Henry County",88,458.7
4377,Connecticut,"South Coventry CDP, Tolland County",1483,458.9
10368,Kansas,"Geneseo city, Rice County",267,458.9
20852,Nebraska,"Lynch village, Boyd County",245,458.9
29377,Pennsylvania,"Chestnuthill township, Monroe County",17156,458.9
5657,Georgia,"Concord city, Pike County",375,459
6805,Illinois,"Browns village, Edwards County",134,459.1
15556,Michigan,"Union charter township, Isabella County",12927,459.1
17683,Minnesota,"Otsego city, Wright County",13571,459.1
19426,Missouri,"Green City city, Sullivan County",657,459.1
3447,California,Tahoma CDP,1191,459.2
4885,Florida,"Holley CDP, Santa Rosa County",1630,459.2
25295,North Carolina,"Fountain town, Pitt County",427,459.2
34520,Texas,"Hill Country Village city, Bexar County",985,459.2
9473,Iowa,"Hubbard city, Hardin County",845,459.3
10284,Kansas,"Danville city, Harper County",38,459.3
9248,Iowa,"Dedham city, Carroll County",266,459.4
34072,Texas,"Coldspring city, San Jacinto County",853,459.5
10788,Kansas,"Vermillion city, Marshall County",112,459.6
10892,Kentucky,"Bonnieville city, Hart County",255,459.7
34633,Texas,"Kemp city, Kaufman County",1154,459.7
18977,Mississippi,Copiah County (part),1897,459.8
20894,Nebraska,"Naponee village, Franklin County",106,459.8
35917,Utah,"Grantsville city, Tooele County",8893,459.8
4115,Colorado,"Westcliffe town, Custer County",568,459.9
17006,Minnesota,"Kennedy city, Kittson County",193,459.9
24811,New York,"Ulster town, Ulster County",12327,459.9
35617,Texas,"Timpson city, Shelby County",1155,459.9
21221,Nevada,"Ruhenstroth CDP, Douglas County",1293,460
33937,Texas,Bruceville-Eddy city,1475,460.1
6050,Georgia,"Richland city, Stewart County",1473,460.2
1657,Arkansas,"Donaldson town, Hot Spring County",301,460.3
34498,Texas,"Hedley city, Donley County",329,460.3
2896,California,"Los Olivos CDP, Santa Barbara County",1132,460.4
21664,New Jersey,"Blawenburg CDP, Somerset County",280,460.4
37147,Washington,"Ahtanum CDP, Yakima County",3601,460.4
3432,California,"Sunnyside-Tahoe City CDP, Placer County",1557,460.6
27108,Ohio,"Morgandale CDP, Trumbull County",1224,460.6
9011,Iowa,"Alden city, Hardin County",787,460.7
9103,Iowa,"Bondurant city, Polk County",3860,460.7
33924,Texas,"Briaroaks city, Johnson County",492,460.7
19628,Missouri,"Lock Springs village, Daviess County",57,460.8
25100,North Carolina,Watauga County (part),1192,460.8
34017,Texas,Collin County (part),6028,460.8
20979,Nebraska,"Republican City village, Harlan County",150,460.9
18729,Mississippi,"Gunnison town, Bolivar County",452,461
5716,Georgia,"East Newnan CDP, Coweta County",1321,461.1
20924,Nebraska,"Ohiowa village, Fillmore County",115,461.1
29039,Pennsylvania,"Bairdford CDP, Allegheny County",698,461.1
25093,North Carolina,"Biltmore Forest town, Buncombe County",1343,461.3
37246,Washington,"Chinook CDP, Pacific County",466,461.3
14241,Michigan,"DeWitt charter township, Clinton County",14321,461.5
21748,New Jersey,"Crandon Lakes CDP, Sussex County",1178,461.5
38743,Wisconsin,"Dresser village, Polk County",895,461.5
3205,California,"Rancho Murieta CDP, Sacramento County",5488,461.7
10746,Kansas,"South Haven city, Sumner County",363,461.7
6663,Illinois,"Apple River village, Jo Daviess County",366,461.8
22208,New Jersey,"Roosevelt borough, Monmouth County",882,461.8
29478,Pennsylvania,"Conneaut Lakeshore CDP, Crawford County",2395,461.8
38762,Wisconsin,"Eagle River city, Vilas County",1398,461.8
18690,Mississippi,"Duncan town, Bolivar County",423,461.9
8590,Indiana,Koontz Lake CDP,1557,462
12132,Maine,"Cousins Island CDP, Cumberland County",490,462
15096,Michigan,"Oakland charter township, Oakland County",16779,462.2
18379,Minnesota,"Virginia city, St. Louis County",8712,462.2
36264,Vermont,"Graniteville CDP, Washington County",784,462.2
5466,Florida,"Woodville CDP, Leon County",2978,462.4
12338,Maine,"Mars Hill CDP, Aroostook County",980,462.4
12573,Maine,"Van Buren CDP, Aroostook County",1937,462.4
24189,New York,"Nissequogue village, Suffolk County",1749,462.4
8321,Indiana,"Burnettsville town, White County",346,462.5
34209,Texas,"Dripping Springs city, Hays County",1788,462.5
34821,Texas,"Los Centenarios CDP, Webb County",87,462.5
25045,North Carolina,"Archer Lodge town, Johnston County",4292,462.6
35500,Texas,"Somerville city, Burleson County",1376,462.6
37284,Washington,"Cusick town, Pend Oreille County",207,462.6
12199,Maine,"Fort Kent CDP, Aroostook County",2488,462.7
18625,Mississippi,"Boyle town, Bolivar County",650,462.7
22442,New Mexico,"Capitan village, Lincoln County",1489,462.8
22777,New Mexico,"Sausal CDP, Valencia County",1056,462.8
24757,New York,"Tannersville village, Greene County",539,462.9
33992,Texas,"Carlsbad CDP, Tom Green County",719,463
39263,Wisconsin,"Lebanon CDP, Dodge County",204,463
23882,New York,"Lattingtown village, Nassau County",1739,463.1
5141,Florida,"Olga CDP, Lee County",1952,463.2
18571,Minnesota,"Wykoff city, Fillmore County",444,463.2
332,Alabama,"Kimberly town, Jefferson County",2711,463.3
36383,Vermont,"Randolph CDP, Orange County",1974,463.3
25739,North Carolina,"South Rosemary CDP, Halifax County",2836,463.4
5911,Georgia,"Marshallville city, Macon County",1448,463.5
13415,Massachusetts,"Lunenburg CDP, Worcester County",1760,463.5
34187,Texas,"Detroit town, Red River County",732,463.5
4771,Florida,"Fisher Island CDP, Miami-Dade County",132,463.8
20910,Nebraska,"Norman village, Kearney County",43,463.9
3208,California,"Rancho Santa Fe CDP, San Diego County",3117,464.2
18588,Mississippi,"Aberdeen city, Monroe County",5612,464.2
23387,New York,"East Avon CDP, Livingston County",608,464.2
34133,Texas,"Cross Mountain CDP, Bexar County",3124,464.2
34910,Texas,"Melissa city, Collin County",4695,464.3
27107,Ohio,"Moreland Hills village, Cuyahoga County",3320,464.4
14047,Michigan,"Carsonville village, Sanilac County",527,464.5
2948,California,"Meadowbrook CDP, Riverside County",3185,464.6
21491,New Hampshire,"Newton town, Rockingham County",4603,464.6
30947,Pennsylvania,"Nittany CDP, Centre County",658,464.6
6077,Georgia,"Sandersville city, Washington County",5912,464.7
23883,New York,"Laurel CDP, Suffolk County",1394,464.7
28294,Oklahoma,"Reydon town, Roger Mills County",210,464.7
29659,Pennsylvania,"East Bethlehem township, Washington County",2354,464.7
32951,South Dakota,"Harrold town, Hughes County",124,464.8
10204,Kansas,Bonner Springs city,7314,465
10752,Kansas,Johnson County (part),3100,465
20399,Montana,"Pablo CDP, Lake County",2254,465
5731,Georgia,"Epworth CDP, Fannin County",480,465.1
5043,Florida,"Marianna city, Jackson County",6102,465.2
15483,Michigan,"Stronach CDP, Manistee County",162,465.2
25696,North Carolina,Polk County (part),701,465.2
33946,Texas,"Buchanan Lake Village CDP, Llano County",692,465.2
17657,Minnesota,"Orono city, Hennepin County",7437,465.3
36494,Vermont,"Wilmington CDP, Windham County",463,465.3
34899,Texas,"Matador town, Motley County",607,465.4
18884,Mississippi,"Richton town, Perry County",1068,465.6
23103,New York,"Callicoon CDP, Sullivan County",167,465.6
29424,Pennsylvania,"Clintonville borough, Venango County",508,465.6
26128,North Dakota,"Mantador city, Richland County",64,465.8
8292,Indiana,"Blanford CDP, Vermillion County",342,465.9
5220,Florida,"Point Baker CDP, Santa Rosa County",2991,466
16696,Minnesota,"Grand Marais city, Cook County",1351,466
31396,Pennsylvania,"Rote CDP, Clinton County",507,466
37067,Virginia,"Stuarts Draft CDP, Augusta County",9235,466
13852,Michigan,Bay Shore CDP,754,466.2
22985,New York,"Bedford town, Westchester County",17335,466.3
34677,Texas,"Lago Vista city, Travis County",6041,466.3
33091,South Dakota,"Pringle town, Custer County",112,466.4
31,Alabama,"Atmore city, Escambia County",10194,466.5
1116,Arizona,"Colorado City town, Mohave County",4821,466.5
4288,Connecticut,"Montville town, New London County",19571,466.5
18713,Mississippi,"Fulton city, Itawamba County",3961,466.5
28106,Oklahoma,"Loco town, Stephens County",122,466.5
33939,Texas,McLennan County (part),1471,466.5
32502,South Carolina,"Great Falls town, Chester County",1979,466.9
36038,Utah,"Plain City city, Weber County",5476,466.9
36898,Virginia,"Monterey town, Highland County",147,466.9
2658,California,"Guerneville CDP, Sonoma County",4534,467
17632,Minnesota,"Oakport CDP, Clay County",1387,467
473,Alabama,"Perdido Beach town, Baldwin County",581,467.1
37919,West Virginia,"Fairlea CDP, Greenbrier County",1747,467.2
38324,Wisconsin,"Balsam Lake village, Polk County",1009,467.2
28427,Oklahoma,"Turpin CDP, Beaver County",467,467.3
33334,Tennessee,"Estill Springs town, Franklin County",2055,467.4
35035,Texas,"New Waverly city, Walker County",1032,467.4
29317,Pennsylvania,"Casselman borough, Somerset County",94,467.5
11349,Kentucky,"Powderly city, Muhlenberg County",745,467.7
26586,Ohio,Richland County (part),18,467.7
18453,Minnesota,"Welcome city, Martin County",686,467.9
25953,North Dakota,"Cleveland city, Stutsman County",83,467.9
20804,Nebraska,"Indianola city, Red Willow County",584,468
1520,Arkansas,"Altheimer city, Jefferson County",984,468.1
9472,Iowa,"Houghton city, Lee County",146,468.1
27466,Ohio,"Sterling CDP, Wayne County",457,468.1
33701,Tennessee,"Waverly city, Humphreys County",4105,468.1
10139,Kansas,"Admire city, Lyon County",156,468.2
18812,Mississippi,"Mendenhall city, Simpson County",2504,468.2
20006,Missouri,Camden County (part),152,468.2
21047,Nebraska,"Swanton village, Saline County",94,468.3
28131,Oklahoma,Creek County (part),3045,468.4
18846,Mississippi,"Noxapater town, Winston County",472,468.5
20766,Nebraska,"Harbine village, Jefferson County",49,468.5
29833,Pennsylvania,"Fairview township, York County",16668,468.5
18925,Mississippi,"Snow Lake Shores town, Benton County",319,468.6
26541,Ohio,"Clarktown CDP, Scioto County",958,468.7
5540,Georgia,"Baconton city, Mitchell County",915,468.8
24023,New York,"Mattituck CDP, Suffolk County",4219,469
27802,Oklahoma,Cashion town,802,469
9906,Iowa,"Saylorville CDP, Polk County",3301,469.1
32793,South Dakota,"Agar town, Sully County",76,469.1
468,Alabama,"Parrish town, Walker County",982,469.2
28123,Oklahoma,"McCurtain town, Haskell County",516,469.2
36319,Vermont,"Manchester Center CDP, Bennington County",2120,469.2
4204,Connecticut,"Durham CDP, Middlesex County",2933,469.3
25484,North Carolina,"McAdenville town, Gaston County",651,469.3
7667,Illinois,"New Canton town, Pike County",359,469.4
9616,Iowa,"Malcom city, Poweshiek County",287,469.4
28916,Pennsylvania,"Aaronsburg CDP (Washington County), Washington County",259,469.4
17017,Minnesota,"Kettle River city, Carlton County",180,469.5
7484,Illinois,"Long Creek village, Macon County",1328,469.6
19915,Missouri,"Rosebud city, Gasconade County",409,469.7
32524,South Carolina,Abbeville County (part),71,469.7
10051,Iowa,Walcott city,1629,469.8
13351,Massachusetts,"Halifax town, Plymouth County",7518,469.8
15191,Michigan,"Pewamo village, Ionia County",469,469.8
15960,Minnesota,"Blackduck city, Beltrami County",785,469.8
16441,Minnesota,"Elizabeth city, Otter Tail County",173,469.8
33495,Tennessee,Millersville city,6440,469.9
36214,Vermont,"Colchester town, Chittenden County",17067,469.9
14671,Michigan,"Interlochen CDP, Grand Traverse County",583,470
14849,Michigan,"Lyon charter township, Oakland County",14545,470
10136,Kansas,"Abbyville city, Reno County",87,470.1
31594,Pennsylvania,"Soudersburg CDP, Lancaster County",540,470.2
16599,Minnesota,"Franklin city, Renville County",510,470.3
10235,Kansas,"Cawker City city, Mitchell County",469,470.4
39818,Wisconsin,"Rib Mountain CDP, Marathon County",5651,470.5
32533,South Carolina,"Irwin CDP, Lancaster County",1405,470.6
7147,Illinois,"Forest City village, Mason County",246,470.7
28072,Oklahoma,"Kinta town, Haskell County",297,470.7
1363,Arizona,"San Carlos CDP, Gila County",4038,470.8
5919,Georgia,Banks County (part),926,470.8
12232,Maine,"Guilford CDP, Piscataquis County",903,470.9
12710,Maryland,"Bryans Road CDP, Charles County",7244,470.9
22808,New Mexico,"Tijeras village, Bernalillo County",541,471
34065,Texas,"Clint town, El Paso County",926,471.1
10009,Iowa,"Tiffin city, Johnson County",1947,471.2
12510,Maine,"Skowhegan CDP, Somerset County",6297,471.2
19600,Missouri,"Leadington city, St. Francois County",422,471.2
25312,North Carolina,Germanton CDP,827,471.4
29902,Pennsylvania,"Foundryville CDP, Columbia County",256,471.5
3071,California,"Oakhurst CDP, Madera County",2829,471.6
18842,Mississippi,"Newton city, Newton County",3373,471.6
39058,Wisconsin,"Helenville CDP, Jefferson County",249,471.6
39753,Wisconsin,"Potter village, Calumet County",253,471.6
6903,Illinois,Boone County (part),347,471.7
7264,Illinois,"Harrison CDP, Jackson County",970,471.8
13400,Massachusetts,"Leicester town, Worcester County",10970,471.8
36393,Vermont,"Rochester CDP, Windsor County",299,471.8
36618,Virginia,"Cheriton town, Northampton County",487,471.8
25526,North Carolina,"Millers Creek CDP, Wilkes County",2112,471.9
4351,Connecticut,"Putnam town, Windham County",9584,472
5863,Georgia,Lavonia city,2156,472.2
6444,Idaho,"Fairfield city, Camas County",416,472.2
16038,Minnesota,Brooten city,743,472.2
31335,Pennsylvania,Richfield CDP,549,472.2
32455,South Carolina,"Edisto CDP, Orangeburg County",2559,472.3
5406,Florida,"Waldo city, Alachua County",1015,472.4
9252,Iowa,"Delhi city, Delaware County",460,472.4
11887,Louisiana,"Raceland CDP, Lafourche Parish",10193,472.5
33224,Tennessee,"Auburntown town, Cannon County",269,472.6
34329,Texas,"Follett city, Lipscomb County",459,472.6
6217,Georgia,"Woodbury city, Meriwether County",961,472.7
20736,Nebraska,"Garrison village, Butler County",54,472.7
24993,New York,"Witherbee CDP, Essex County",347,472.7
28196,Oklahoma,"Norge town, Grady County",145,472.7
105,Alabama,"Cherokee town, Colbert County",1048,472.8
5422,Florida,"Welaka town, Putnam County",701,472.8
32843,South Dakota,"Brentford town, Spink County",77,472.8
34724,Texas,"La Paloma Addition CDP, San Patricio County",330,472.8
10112,Iowa,"Williamson city, Lucas County",152,472.9
29248,Pennsylvania,"Buckhorn CDP, Columbia County",318,472.9
24588,New York,"Savannah CDP, Wayne County",558,473
36862,Virginia,"McMullin CDP, Smyth County",464,473
38399,Wisconsin,"Birch Hill CDP, Ashland County",293,473.1
19495,Missouri,"Humphreys village, Sullivan County",118,473.2
8513,Indiana,"Hanna CDP, LaPorte County",463,473.3
37048,Virginia,"South Hill town, Mecklenburg County",4650,473.3
3111,California,"Palm Springs city, Riverside County",44552,473.4
11226,Kentucky,Ten Broeck city,103,473.4
11434,Kentucky,"Ten Broeck city, Jefferson County",103,473.4
16193,Minnesota,"Clinton city, Big Stone County",449,473.4
19819,Missouri,"Pendleton village, Warren County",43,473.4
33180,South Dakota,Beadle County (part),160,473.4
6525,Idaho,"Moyie Springs city, Boundary County",718,473.6
24065,New York,"Milton CDP (Ulster County), Ulster County",1403,473.6
36324,Vermont,"Middlebury CDP, Addison County",6588,473.6
6771,Illinois,"Bluford village, Jefferson County",688,473.7
10997,Kentucky,"Edmonton city, Metcalfe County",1595,473.7
27927,Oklahoma,"Fairmont town, Garfield County",134,473.7
19136,Missouri,Dent County (part),171,473.8
19731,Missouri,"Neck City city, Jasper County",186,473.8
31489,Pennsylvania,"Seneca CDP, Venango County",1065,473.8
1492,Arizona,Winkelman town,353,473.9
19786,Missouri,Camden County (part),4067,474
23440,New York,"Ellenville village, Ulster County",4135,474
6560,Idaho,"Priest River city, Bonner County",1751,474.1
6602,Idaho,"Tetonia city, Teton County",269,474.1
360,Alabama,"Lockhart town, Covington County",516,474.2
24403,New York,"Plessis CDP, Jefferson County",164,474.3
7983,Illinois,"Shipman town, Macoupin County",624,474.4
25235,North Carolina,"East Bend town, Yadkin County",612,474.4
23287,New York,"Cornwall town, Orange County",12646,474.5
543,Alabama,Marshall County (part),6,474.6
1956,Arkansas,"Prairie Creek CDP, Benton County",2066,474.6
5864,Georgia,Franklin County (part),2156,474.6
31495,Pennsylvania,"Seven Valleys borough, York County",517,474.6
35047,Texas,"Nome city, Jefferson County",588,474.6
20563,Nebraska,"Barneston village, Gage County",116,474.7
11265,Kentucky,"Maysville city, Mason County",9011,474.8
22537,New Mexico,"Flora Vista CDP, San Juan County",2191,474.8
32616,South Carolina,"Newport CDP, York County",4136,474.8
34603,Texas,"Jefferson city, Marion County",2106,474.8
4241,Connecticut,"Guilford town, New Haven County",22375,474.9
12630,Maine,"Winthrop CDP, Kennebec County",2650,475
609,Alabama,"Trinity town, Morgan County",2095,475.2
21065,Nebraska,Trumbull village,205,475.2
27379,Ohio,"Rutland village, Meigs County",393,475.2
40288,Wisconsin,"Wild Rose village, Waushara County",725,475.2
11755,Louisiana,"Lafourche Crossing CDP, Lafourche Parish",2002,475.5
11750,Louisiana,"Labadieville CDP, Assumption Parish",1854,475.6
10982,Kentucky,"Doe Valley CDP, Meade County",1931,475.7
17845,Minnesota,"Red Wing city, Goodhue County",16459,475.7
19908,Missouri,"Rock Port city, Atchison County",1318,475.7
27340,Ohio,"Ridgeville Corners CDP, Henry County",435,475.7
32909,South Dakota,"Elkton city, Brookings County",736,475.7
37228,Washington,"Carson CDP, Skamania County",2279,475.7
16341,Minnesota,Rice County (part),13,476
25452,North Carolina,"Lattimore town, Cleveland County",488,476
30949,Pennsylvania,"Noblestown CDP, Allegheny County",575,476
36890,Virginia,"Metompkin CDP, Accomack County",551,476
38102,West Virginia,"Prichard CDP, Wayne County",527,476
1997,Arkansas,"Scranton city, Logan County",224,476.2
16872,Minnesota,"Hinckley city, Pine County",1800,476.3
19010,Missouri,"Annada village, Pike County",29,476.3
24506,New York,"Rock Hill CDP, Sullivan County",1742,476.3
9879,Iowa,"Rossie city, Clay County",70,476.4
33956,Texas,"Bulverde city, Comal County",4630,476.4
2093,Arkansas,"Yellville city, Marion County",1204,476.5
6159,Georgia,"Trion town, Chattooga County",1827,476.5
11776,Louisiana,"Logansport town, De Soto Parish",1555,476.5
18835,Mississippi,Monroe County (part),1146,476.5
20987,Nebraska,"Rockville village, Sherman County",106,476.5
3016,California,"Mountain Gate CDP, Shasta County",943,476.6
7119,Illinois,St. Clair County (part),2588,476.6
16040,Minnesota,Stearns County (part),743,476.6
19147,Missouri,"Calhoun city, Henry County",469,476.6
19433,Missouri,Schuyler County (part),357,476.7
22722,New Mexico,"Red River town, Taos County",477,476.7
34314,Texas,"Faysville CDP, Hidalgo County",439,476.7
11028,Kentucky,"Fleming-Neon city, Letcher County",770,476.8
18887,Mississippi,"Ripley city, Tippah County",5395,476.8
11653,Louisiana,"Estherwood village, Acadia Parish",889,476.9
9508,Iowa,"Kellerton city, Ringgold County",315,477
10505,Kansas,"Liberty city, Montgomery County",123,477
14977,Michigan,"Milford charter township, Oakland County",15736,477
104,Alabama,"Chelsea city, Shelby County",10183,477.1
16722,Minnesota,"Greenbush city, Roseau County",719,477.2
21710,New Jersey,"Carneys Point township, Salem County",8049,477.3
11737,Louisiana,Junction City village,582,477.4
25089,North Carolina,"Bethania town, Forsyth County",328,477.4
33304,Tennessee,"Dandridge town, Jefferson County",2812,477.4
21695,New Jersey,"Burleigh CDP, Cape May County",725,477.5
26610,Ohio,"Darbyville village, Pickaway County",222,477.5
39869,Wisconsin,"Rosholt village, Portage County",506,477.5
8124,Illinois,"Victoria village, Knox County",316,477.7
4490,Delaware,"Henlopen Acres town, Sussex County",122,477.8
14881,Michigan,"Maple City CDP, Leelanau County",207,477.8
28076,Oklahoma,"Krebs city, Pittsburg County",2053,477.8
4447,Connecticut,"Woodbridge town, New Haven County",8990,477.9
7176,Illinois,"Galatia village, Saline County",933,477.9
16708,Minnesota,Chippewa County (part),853,477.9
4311,Connecticut,"Newtown town, Fairfield County",27560,478
25766,North Carolina,Alexander County (part),1161,478
26088,North Dakota,"Kindred city, Cass County",692,478
23671,New York,"Hammond village, St. Lawrence County",280,478.1
27832,Oklahoma,"Clayton town, Pushmataha County",821,478.1
32557,South Carolina,"Lake View town, Dillon County",807,478.2
3946,Colorado,"Milliken town, Weld County",5610,478.3
23203,New York,"Chester town, Orange County",11981,478.3
23219,New York,"Clarkson CDP, Monroe County",4358,478.3
14751,Michigan,"Lake Isabella village, Isabella County",1681,478.5
33210,Tennessee,"Alexandria town, DeKalb County",966,478.7
33743,Texas,Alba town,504,478.7
3184,California,"Portola Valley town, San Mateo County",4353,478.8
15331,Michigan,"Rothbury village, Oceana County",432,478.8
16170,Minnesota,"Claremont city, Dodge County",548,478.8
26943,Ohio,"Lewisville village, Monroe County",176,478.8
37295,Washington,"Desert Aire CDP, Grant County",1626,478.8
4104,Colorado,"Vona town, Kit Carson County",106,478.9
11917,Louisiana,"Schriever CDP, Terrebonne Parish",6853,478.9
21195,Nevada,"Mesquite city, Clark County",15276,478.9
21375,New Hampshire,"Goffstown town, Hillsborough County",17651,478.9
34545,Texas,"Horseshoe Bend CDP, Parker County",789,478.9
25927,North Dakota,"Briarwood city, Cass County",73,479
29831,Pennsylvania,"Fairview township, Luzerne County",4520,479.1
19814,Missouri,"Passaic town, Bates County",34,479.2
23651,New York,"Groveland Station CDP, Livingston County",281,479.2
35367,Texas,"Sadler city, Grayson County",343,479.2
39408,Wisconsin,Marathon County (part),900,479.2
10053,Iowa,Scott County (part),1629,479.3
10133,Iowa,Dubuque County (part),65,479.5
34342,Texas,Denton County (part),7813,479.5
7217,Illinois,Tazewell County (part),192,479.6
11695,Louisiana,"Gray CDP, Terrebonne Parish",5584,479.6
23318,New York,"Dalton CDP, Livingston County",362,479.6
32537,South Carolina,"Jackson town, Aiken County",1700,479.6
35824,Utah,"Beaver city, Beaver County",3112,479.6
4391,Connecticut,"Stonington town, New London County",18545,479.7
38961,Wisconsin,"Gotham CDP, Richland County",191,479.7
2016,Arkansas,"Star City city, Lincoln County",2274,480
15034,Michigan,"Napoleon CDP, Jackson County",1258,480
10310,Kansas,"Edwardsville city, Wyandotte County",4340,480.1
9287,Iowa,"Dundee city, Delaware County",174,480.2
29679,Pennsylvania,"East Fallowfield township, Chester County",7449,480.2
10909,Kentucky,"Buckhorn city, Perry County",162,480.4
21551,New Hampshire,"Stratham town, Rockingham County",7255,480.4
30984,Pennsylvania,"North Middleton township, Cumberland County",11143,480.4
12486,Maine,"Saco city, York County",18482,480.5
590,Alabama,Elmore County (part),3110,480.6
407,Alabama,"Moody city, St. Clair County",11726,480.6
26352,Ohio,"Bairdstown village, Wood County",130,480.6
31916,Pennsylvania,"Upper Leacock township, Lancaster County",8708,480.6
25464,North Carolina,"Light Oak CDP, Cleveland County",691,480.8
25919,North Dakota,"Bisbee city, Towner County",126,480.9
7676,Illinois,"New Milford village, Winnebago County",697,481
17723,Minnesota,"Pennock city, Kandiyohi County",508,481.1
34889,Texas,"Markham CDP, Matagorda County",1082,481.1
35532,Texas,"Stagecoach town, Montgomery County",538,481.1
4874,Florida,"Highland Park village, Polk County",230,481.2
18333,Minnesota,"Ulen city, Clay County",547,481.2
7742,Illinois,"Orient city, Franklin County",358,481.3
23363,New York,Fulton County (part),131,481.3
12416,Maine,"Oakland CDP, Kennebec County",2602,481.4
22517,New Mexico,"El Duende CDP, Rio Arriba County",707,481.4
7624,Illinois,"Mount Auburn village, Christian County",480,481.6
12823,Maryland,"Fairplay CDP, Washington County",580,481.6
18826,Mississippi,"Morton city, Scott County",3462,481.6
23681,New York,"Hannibal village, Oswego County",555,481.6
30611,Pennsylvania,"McKeansburg CDP, Schuylkill County",163,481.6
35136,Texas,"Parker city, Collin County",3811,481.6
35877,Utah,"Eagle Mountain city, Utah County",21415,481.6
1533,Arkansas,"Aubrey town, Lee County",170,481.7
10962,Kentucky,"Crab Orchard city, Lincoln County",841,481.7
16702,Minnesota,"Grand Rapids city, Itasca County",10869,481.8
19460,Missouri,"Haywood City village, Scott County",206,481.8
27355,Ohio,"Rockbridge CDP, Hocking County",182,481.8
37475,Washington,"Machias CDP, Snohomish County",1178,481.8
26248,North Dakota,"Streeter city, Stutsman County",170,481.9
36405,Vermont,"St. Johnsbury CDP, Caledonia County",6193,481.9
11711,Louisiana,"Haynesville town, Claiborne Parish",2327,482
16758,Minnesota,"Hallock city, Kittson County",981,482
30664,Pennsylvania,"Marion CDP, Franklin County",953,482
33637,Tennessee,"South Cleveland CDP, Bradley County",6912,482
25450,North Carolina,"Lansing town, Ashe County",158,482.1
27147,Ohio,"New Baltimore CDP, Hamilton County",661,482.1
27384,Ohio,"St Johns CDP, Auglaize County",185,482.1
27678,Oklahoma,"Addington town, Jefferson County",114,482.1
30133,Pennsylvania,"Hawthorn borough, Clarion County",494,482.1
32950,South Dakota,"Harrison CDP, Douglas County",52,482.2
83,Alabama,Calera city,11620,482.3
598,Alabama,"Thomasville city, Clarke County",4209,482.3
578,Alabama,Sumiton city,2520,482.4
14124,Michigan,"Clayton village, Lenawee County",344,482.4
19413,Missouri,"Granby city, Newton County",2134,482.4
28324,Oklahoma,"Savanna town, Pittsburg County",686,482.4
37840,West Virginia,"Bradley CDP, Raleigh County",2040,482.4
10987,Kentucky,"Dry Ridge city, Grant County",2191,482.5
21067,Nebraska,Clay County (part),205,482.5
37855,West Virginia,"Burnsville town, Braxton County",510,482.5
4856,Florida,"Hampton city, Bradford County",500,482.6
24685,New York,"South Fallsburg CDP, Sullivan County",2870,482.6
71,Alabama,"Brewton city, Escambia County",5408,482.7
121,Alabama,"Coker town, Tuscaloosa County",979,482.7
28593,Oregon,"Dunes City city, Lane County",1303,482.7
28894,Oregon,"Westport CDP, Clatsop County",321,482.7
89,Alabama,"Camden city, Wilcox County",2020,482.8
524,Alabama,"Rock Creek CDP, Jefferson County",1456,482.8
23036,New York,"Bolton Landing CDP, Warren County",513,482.8
32649,South Carolina,"Pelzer town, Anderson County",89,482.8
8114,Illinois,"Venedy village, Washington County",138,482.9
